from,to,distance
6703200-033,6702700-012,2.265153169631958
6702100-009,6703500-003,2.157815456390381
6700700-001,6700700-011,0.4562283158302307
6702700-010,6702700-017,3.1533477306365967
6703100-005,6703400-038,0.9527658820152283
6703300-014,6703300-039,2.0289466381073
6700200-011,6700200-001,1.5896955728530884
6701500-001,6701500-002,1.3560349941253662
6703300-032,6703300-029,0.9780284762382507
6703400-012,6703400-003,0.5247390270233154
6700200-007,6700200-003,0.38207393884658813
6703300-022,6703200-029,1.1032949686050415
6700100-010,6700100-016,2.086613655090332
6701800-002,6701800-005,1.781490445137024
6700400-013,6700400-011,4.4867095947265625
6703700-018,6703700-002,0.4225561022758484
6700700-007,6700700-004,1.321239948272705
6700100-021,6700200-001,1.9181662797927856
6702300-004,6702300-005,2.6879043579101562
6700100-014,6700100-027,0.9229665398597717
6702700-009,6702700-007,1.3195911645889282
6700200-004,6700200-011,0.9555759429931641
6702800-010,6702800-002,3.093407154083252
6703700-013,6703700-008,0.3240586519241333
6700800-008,6700800-002,1.2493053674697876
6702200-001,6702200-004,3.0817224979400635
6700100-010,6700100-029,1.463309407234192
6703400-027,6703400-001,0.589874267578125
6701100-005,6701100-002,1.414920449256897
6701200-014,6701200-005,1.7991642951965332
6703100-020,6703100-014,1.53696870803833
6703200-041,6703200-026,0.6531742811203003
6703600-009,6703300-035,0.6471301317214966
6700700-023,6700700-025,0.8459867238998413
6703200-002,6703200-034,0.5734699964523315
6703100-032,6703100-024,0.9450101256370544
6701200-020,6700700-020,2.487421989440918
6703400-041,6703400-020,0.5678694248199463
6701200-009,6701200-011,2.2810025215148926
6700600-016,6700500-014,2.0471062660217285
6703500-019,6703500-036,2.8223016262054443
6703700-013,6703700-021,0.3058856129646301
6700200-010,6700200-004,2.8749160766601562
6702800-009,6702800-019,0.593036413192749
6700200-022,6700200-014,2.5438520908355713
6701600-014,6701600-012,2.693108558654785
6702800-005,6702800-021,0.8606428503990173
6701900-007,6701900-004,1.943408489227295
6701600-007,6701600-009,1.9551836252212524
6702600-002,6701800-019,3.8626210689544678
6700100-002,6700100-006,0.5361608266830444
6703700-029,6703300-005,0.5772544741630554
6703500-007,6703500-039,0.6387383341789246
6703400-003,6703400-007,0.46249550580978394
6701200-006,6701200-019,1.2326040267944336
6700300-011,6700300-008,3.5335869789123535
6703300-010,6703300-013,0.4582829773426056
6703700-035,6703700-022,0.5248642563819885
6701000-003,6700900-001,2.301819324493408
6703400-033,6703400-034,0.4400063455104828
6700600-008,6700600-007,3.742891311645508
6701600-014,6701700-007,1.7265410423278809
6700900-011,6700900-003,3.993011713027954
6703400-029,6703400-036,0.5146245360374451
6700600-001,6700600-004,1.9044424295425415
6700700-004,6700700-001,0.7413597702980042
6702400-001,6702400-007,1.072290301322937
6703100-017,6702800-016,2.087318181991577
6702800-020,6702800-019,1.5409619808197021
6703000-002,6702900-011,4.695046424865723
6700900-003,6700900-004,0.5402832627296448
6703300-001,6703300-021,0.7070780992507935
6703100-038,6703100-030,1.5890822410583496
6701300-010,6701300-004,2.8236868381500244
6700800-007,6700200-025,2.1758902072906494
6702300-007,6702500-002,5.428139686584473
6703500-041,6703500-050,0.6927184462547302
6701000-003,6701000-002,1.742101788520813
6701000-006,6701000-007,1.1780380010604858
6701400-009,6701400-001,2.0644009113311768
6703500-034,6703500-047,2.8645899295806885
6700100-013,6700100-006,0.37408682703971863
6703700-031,6703700-037,0.7723264098167419
6702800-008,6702900-001,1.1476950645446777
6700600-005,6700300-009,1.7358533143997192
6700300-008,6700600-015,6.698232173919678
6700900-010,6701000-008,2.3574161529541016
6700400-002,6700900-009,2.2226314544677734
6700100-011,6700400-003,3.212308406829834
6701700-011,6701700-005,3.2596585750579834
6700700-029,6700700-007,1.7950884103775024
6701600-013,6701600-015,3.056668996810913
6703300-023,6703300-022,1.5439517498016357
6700300-017,6700300-014,4.221334457397461
6703200-001,6703200-013,0.6494418382644653
6703300-016,6703300-019,2.0711147785186768
6700100-020,6700100-022,1.627840280532837
6700300-010,6700300-011,4.5334086418151855
6702100-004,6702100-002,1.6511307954788208
6703200-010,6703200-018,0.44079506397247314
6700700-014,6700700-005,1.9807320833206177
6703600-008,6703600-002,1.8205996751785278
6700700-017,6700700-010,1.586626410484314
6701800-005,6701800-008,0.29401126503944397
